Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 09:57:56.703,cd:75:20:e1:ef:ef, 2015-01-01 00:33:42.875, 0.105, 0.992, 0.017, 0, 0, 0, , , , , , , -0.472, -0.016, -52.888, -22.847, -56.160, -13.893, 27.93, 0.6554, 0.6084, -0.34711, -0.28232,
 09:57:56.705,ea:e4:fd:d7:dc:2a, 2015-01-01 00:33:40.100, 0.067, 0.983, -0.136, 0, 0, 0, , , , , , , 0.934, 0.374, -179.583, -5.360, -75.713, 18.200, 28.92, -0.0314, 0.02264, 0.75323, 0.65652,
 09:57:56.732,fe:77:90:13:0e:6b, 2015-01-01 00:33:44.515, 0.013, 0.9, -0.385, 0, 0, 0, , , , , , , -2.241, -1.165, -146.558, -11.440, -49.507, 37.147, 26.45, 0.16013, 0.23624, -0.80457, -0.52069,
 09:57:56.763,fe:77:90:13:0e:6b, 2015-01-01 00:33:44.515, 0.009, 0.906, -0.386, 0, 0, 0, , , , , , , -2.247, -1.17, -146.503, -11.440, -49.507, 37.147, 26.45, 0.16266, 0.23788, -0.80112, -0.52444,
 09:57:56.824,cd:75:20:e1:ef:ef, 2015-01-01 00:33:42.875, 0.113, 0.995, 0.015, 0, 0, 0, , , , , , , -0.428, -0.011, -52.85, -22.847, -56.160, -13.893, 27.93, 0.6554, 0.6084, -0.34711, -0.28232,
 09:57:56.825,ea:e4:fd:d7:dc:2a, 2015-01-01 00:33:40.100, 0.074, 0.991, -0.141, 0, 0, 0, , , , , , , 0.939, 0.396, -179.594, -5.360, -75.713, 18.200, 28.92, -0.0314, 0.02264, 0.75323, 0.65652,
 09:57:56.882,fe:77:90:13:0e:6b, 2015-01-01 00:33:45.020, 0.016, 0.894, -0.381, 0, 0, 0, , , , , , , -2.263, -1.181, -146.453, -11.440, -49.507, 37.147, 26.45, 0.16266, 0.23788, -0.80112, -0.52444,
 09:57:56.915,ea:e4:fd:d7:dc:2a, 2015-01-01 00:33:40.100, 0.071, 0.985, -0.138, 0, 0, 0, , , , , , , 0.95, 0.406, -179.61, -5.847, -75.760, 18.980, 28.92, -0.0314, 0.02264, 0.75323, 0.65652,
 09:57:56.944,cd:75:20:e1:ef:ef, 2015-01-01 00:33:42.875, 0.107, 0.992, 0.014, 0, 0, 0, , , , , , , -0.406, -0.022, -52.85, -22.867, -56.433, -12.940, 27.93, 0.6554, 0.6084, -0.34711, -0.28232,
 09:57:56.974,cd:75:20:e1:ef:ef, 2015-01-01 00:33:42.875, 0.105, 0.99, 0.017, 0, 0, 0, , , , , , , -0.412, -0.016, -52.817, -22.867, -56.433, -12.940, 27.93, 0.65524, 0.60892, -0.34708, -0.28156,
 09:57:57.002,fe:77:90:13:0e:6b, 2015-01-01 00:33:45.020, 0.021, 0.899, -0.384, 0, 0, 0, , , , , , , -2.274, -1.187, -146.409, -11.440, -49.507, 37.147, 26.45, 0.16266, 0.23788, -0.80112, -0.52444,
 09:57:57.035,ea:e4:fd:d7:dc:2a, 2015-01-01 00:33:40.485, 0.068, 0.988, -0.128, 0, 0, 0, , , , , , , 0.95, 0.417, -179.621, -5.847, -75.760, 18.980, 28.92, -0.03082, 0.02249, 0.75333, 0.65646,
 09:57:57.093,cd:75:20:e1:ef:ef, 2015-01-01 00:33:43.410, 0.108, 0.991, 0.001, 0, 0, 0, , , , , , , -0.346, -0.016, -52.789, -22.867, -56.433, -12.940, 27.93, 0.65524, 0.60892, -0.34708, -0.28156,
 09:57:57.125,ea:e4:fd:d7:dc:2a, 2015-01-01 00:33:40.485, 0.068, 0.98, -0.131, 0, 0, 0, , , , , , , 0.945, 0.434, -179.61, -5.847, -75.760, 18.980, 28.92, -0.03082, 0.02249, 0.75333, 0.65646,
 09:57:57.181,fe:77:90:13:0e:6b, 2015-01-01 00:33:45.020, 0.02, 0.892, -0.387, 0, 0, 0, , , , , , , -2.28, -1.203, -146.382, -11.440, -49.507, 37.147, 26.45, 0.16266, 0.23788, -0.80112, -0.52444,
 09:57:57.183,cd:75:20:e1:ef:ef, 2015-01-01 00:33:43.410, 0.106, 0.997, -0.002, 0, 0, 0, , , , , , , -0.346, -0.038, -52.784, -22.867, -56.433, -12.940, 27.93, 0.65524, 0.60892, -0.34708, -0.28156,
 09:57:57.213,fe:77:90:13:0e:6b, 2015-01-01 00:33:45.020, 0.012, 0.901, -0.38, 0, 0, 0, , , , , , , -2.285, -1.219, -146.354, -11.680, -49.607, 37.540, 26.45, 0.16266, 0.23788, -0.80112, -0.52444,
 09:57:57.245,ea:e4:fd:d7:dc:2a, 2015-01-01 00:33:40.485, 0.068, 0.986, -0.128, 0, 0, 0, , , , , , , 0.928, 0.445, -179.599, -5.847, -75.760, 18.980, 28.92, -0.03082, 0.02249, 0.75333, 0.65646,
 09:57:57.303,cd:75:20:e1:ef:ef, 2015-01-01 00:33:43.410, 0.108, 0.989, 0.011, 0, 0, 0, , , , , , , -0.45, -0.049, -52.811, -22.847, -55.920, -12.840, 27.93, 0.65524, 0.60892, -0.34708, -0.28156,
 09:57:57.303,fe:77:90:13:0e:6b, 2015-01-01 00:33:45.020, 0.019, 0.899, -0.376, 0, 0, 0, , , , , , , -2.302, -1.236, -146.321, -11.680, -49.607, 37.540, 26.45, 0.16412, 0.23883, -0.80048, -0.52454,
 09:57:57.305,ea:e4:fd:d7:dc:2a, 2015-01-01 00:33:40.485, 0.067, 0.983, -0.121, 0, 0, 0, , , , , , , 0.912, 0.467, -179.577, -5.753, -75.867, 16.593, 28.92, -0.03082, 0.02249, 0.75333, 0.65646,
 09:57:57.393,cd:75:20:e1:ef:ef, 2015-01-01 00:33:43.410, 0.108, 0.989, 0.017, 0, 0, 0, , , , , , , -0.412, -0.033, -52.817, -22.847, -55.920, -12.840, 27.93, 0.65524, 0.60892, -0.3472, -0.28143,
 09:57:57.423,fe:77:90:13:0e:6b, 2015-01-01 00:33:45.555, 0.014, 0.901, -0.38, 0, 0, 0, , , , , , , -2.324, -1.241, -146.299, -11.680, -49.607, 37.540, 26.45, 0.16412, 0.23883, -0.80048, -0.52454,
 09:57:57.427,ea:e4:fd:d7:dc:2a, 2015-01-01 00:33:40.485, 0.063, 0.981, -0.119, 0, 0, 0, , , , , , , 0.89, 0.494, -179.544, -5.753, -75.867, 16.593, 28.92, -0.03073, 0.02161, 0.75302, 0.65686,
 09:57:57.483,fe:77:90:13:0e:6b, 2015-01-01 00:33:45.555, 0.018, 0.9, -0.38, 0, 0, 0, , , , , , , -2.335, -1.252, -146.283, -11.680, -49.607, 37.540, 26.45, 0.16412, 0.23883, -0.80048, -0.52454,
 09:57:57.512,cd:75:20:e1:ef:ef, 2015-01-01 00:33:43.830, 0.108, 0.991, 0.013, 0, 0, 0, , , , , , , -0.401, -0.027, -52.828, -22.847, -55.920, -12.840, 27.93, 0.65524, 0.60892, -0.3472, -0.28143,
 09:57:57.514,ea:e4:fd:d7:dc:2a, 2015-01-01 00:33:40.900, 0.066, 0.985, -0.122, 0, 0, 0, , , , , , , 0.862, 0.522, -179.528, -5.753, -75.867, 16.593, 28.92, -0.03073, 0.02161, 0.75302, 0.65686,
 09:57:57.572,fe:77:90:13:0e:6b, 2015-01-01 00:33:45.555, 0.025, 0.895, -0.38, 0, 0, 0, , , , , , , -2.351, -1.263, -146.245, -11.680, -49.607, 37.540, 26.45, 0.16412, 0.23883, -0.80048, -0.52454,
 09:57:57.604,cd:75:20:e1:ef:ef, 2015-01-01 00:33:43.830, 0.108, 0.993, 0.009, 0, 0, 0, , , , , , , -0.39, -0.027, -52.85, -22.847, -55.920, -12.840, 27.93, 0.65524, 0.60892, -0.3472, -0.28143,
 09:57:57.635,ea:e4:fd:d7:dc:2a, 2015-01-01 00:33:40.900, 0.067, 0.994, -0.12, 0, 0, 0, , , , , , , 0.846, 0.544, -179.511, -5.753, -75.867, 16.593, 28.92, -0.03073, 0.02161, 0.75302, 0.65686,
 09:57:57.692,fe:77:90:13:0e:6b, 2015-01-01 00:33:45.555, 0.025, 0.901, -0.38, 0, 0, 0, , , , , , , -2.362, -1.274, -146.201, -11.660, -49.293, 36.907, 26.45, 0.16412, 0.23883, -0.80048, -0.52454,
 09:57:57.727,ea:e4:fd:d7:dc:2a, 2015-01-01 00:33:40.900, 0.064, 0.985, -0.116, 0, 0, 0, , , , , , , 0.818, 0.577, -179.495, -5.140, -75.907, 17.040, 28.92, -0.03073, 0.02161, 0.75302, 0.65686,
 09:57:57.754,cd:75:20:e1:ef:ef, 2015-01-01 00:33:43.830, 0.108, 0.989, 0.006, 0, 0, 0, , , , , , , -0.374, -0.027, -52.866, -22.647, -56.273, -13.220, 27.93, 0.65524, 0.60892, -0.3472, -0.28143,
 09:57:57.813,fe:77:90:13:0e:6b, 2015-01-01 00:33:45.555, 0.03, 0.906, -0.381, 0, 0, 0, , , , , , , -2.379, -1.296, -146.151, -11.660, -49.293, 36.907, 26.45, 0.16556, 0.23956, -0.79993, -0.52463,
 09:57:57.843,cd:75:20:e1:ef:ef, 2015-01-01 00:33:43.830, 0.108, 0.988, 0.016, 0, 0, 0, , , , , , , -0.401, -0.022, -52.866, -22.647, -56.273, -13.220, 27.93, 0.65524, 0.60892, -0.3472, -0.28143,
 09:57:57.844,ea:e4:fd:d7:dc:2a, 2015-01-01 00:33:41.260, 0.067, 0.987, -0.124, 0, 0, 0, , , , , , , 0.791, 0.615, -179.484, -5.140, -75.907, 17.040, 28.92, -0.0303, 0.02054, 0.7525, 0.6575,
 09:57:57.931,fe:77:90:13:0e:6b, 2015-01-01 00:33:46.060, 0.025, 0.897, -0.379, 0, 0, 0, , , , , , , -2.401, -1.324, -146.113, -11.660, -49.293, 36.907, 26.45, 0.16556, 0.23956, -0.79993, -0.52463,
 09:57:57.935,ea:e4:fd:d7:dc:2a, 2015-01-01 00:33:41.260, 0.062, 0.988, -0.123, 0, 0, 0, , , , , , , 0.775, 0.632, -179.473, -5.140, -75.907, 17.040, 28.92, -0.0303, 0.02054, 0.7525, 0.6575,
 09:57:57.961,fe:77:90:13:0e:6b, 2015-01-01 00:33:46.060, 0.031, 0.901, -0.382, 0, 0, 0, , , , , , , -2.417, -1.351, -146.085, -11.660, -49.293, 36.907, 26.45, 0.16556, 0.23956, -0.79993, -0.52463,
 09:57:57.963,cd:75:20:e1:ef:ef, 2015-01-01 00:33:43.830, 0.111, 0.991, 0.013, 0, 0, 0, , , , , , , -0.45, -0.033, -52.861, -22.647, -56.273, -13.220, 27.93, 0.65533, 0.60861, -0.34732, -0.28174,
 09:57:57.994,cd:75:20:e1:ef:ef, 2015-01-01 00:33:44.305, 0.108, 0.992, 0.014, 0, 0, 0, , , , , , , -0.428, -0.027, -52.861, -22.647, -56.273, -13.220, 27.93, 0.65533, 0.60861, -0.34732, -0.28174,
