Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 08:18:49.871,ea:e4:fd:d7:dc:2a, 2015-01-01 00:27:20.040, 0.125, 0.988, 0.015, 0, 0, 0, , , , , , , -1.401, 0.011, 162.208, 4.253, -61.360, 35.067, 28.8, 0.06619, 0.1521, 0.68973, 0.70471,
 08:18:49.872,fe:77:90:13:0e:6b, 2015-01-01 00:27:20.040, -0.263, 0.867, -0.369, 0.427, 0, -0.183, , , , , , , -0.681, 6.07, 160.675, 16.793, -31.627, 30.180, 25.64, 0.19742, 0.06973, 0.83057, 0.51593,
 08:18:49.930,ea:e4:fd:d7:dc:2a, 2015-01-01 00:27:20.040, 0.119, 0.991, 0.007, 0, 0, 0, , , , , , , -1.417, 0.016, 162.202, 4.253, -61.360, 35.067, 28.8, 0.06619, 0.1521, 0.68973, 0.70471,
 08:18:49.961,fe:77:90:13:0e:6b, 2015-01-01 00:27:20.040, -0.259, 0.872, -0.374, 0.427, -0.916, 0, , , , , , , -0.698, 6.086, 160.67, 16.793, -31.627, 30.180, 25.64, 0.19742, 0.06973, 0.83057, 0.51593,
 08:18:49.965,cd:75:20:e1:ef:ef, 2015-01-01 00:27:19.085, 0.167, 0.979, -0.109, 0, 0, 0, , , , , , , -0.67, -0.176, -17.803, -21.433, -53.880, -33.580, 25.69, 0.66412, 0.72678, -0.17017, -0.04077,
 08:18:50.051,ea:e4:fd:d7:dc:2a, 2015-01-01 00:27:20.040, 0.122, 0.99, 0.01, 0, 0, 0, , , , , , , -1.434, 0.016, 162.197, 4.253, -61.360, 35.067, 28.8, 0.06619, 0.1521, 0.68973, 0.70471,
 08:18:50.053,cd:75:20:e1:ef:ef, 2015-01-01 00:27:19.085, 0.163, 0.974, -0.107, 0, 0, 0, , , , , , , -0.676, -0.176, -17.803, -21.433, -53.880, -33.580, 25.85, 0.66412, 0.72678, -0.17017, -0.04077,
 08:18:50.082,fe:77:90:13:0e:6b, 2015-01-01 00:27:20.040, -0.259, 0.864, -0.371, -0.61, 0.366, 1.038, , , , , , , -0.709, 6.103, 160.675, 16.793, -31.627, 30.180, 25.64, 0.19742, 0.06973, 0.83057, 0.51593,
 08:18:50.141,ea:e4:fd:d7:dc:2a, 2015-01-01 00:27:20.040, 0.118, 0.987, 0.006, 0, 0, 0, , , , , , , -1.45, 0.022, 162.197, 4.600, -61.480, 35.373, 28.8, 0.06619, 0.1521, 0.68973, 0.70471,
 08:18:50.171,fe:77:90:13:0e:6b, 2015-01-01 00:27:20.040, -0.252, 0.865, -0.371, 0.183, 0.305, 0.122, , , , , , , -0.725, 6.119, 160.67, 16.300, -31.733, 30.053, 25.64, 0.19742, 0.06973, 0.83057, 0.51593,
 08:18:50.173,cd:75:20:e1:ef:ef, 2015-01-01 00:27:19.620, 0.167, 0.97, -0.113, 0, 0, 0, , , , , , , -0.61, -0.165, -17.814, -21.433, -53.880, -33.580, 25.85, 0.66412, 0.72678, -0.17017, -0.04077,
 08:18:50.262,cd:75:20:e1:ef:ef, 2015-01-01 00:27:19.620, 0.163, 0.972, -0.115, 0, 0, 0, , , , , , , -0.505, -0.137, -17.82, -21.433, -53.880, -33.580, 25.85, 0.66412, 0.72678, -0.17017, -0.04077,
 08:18:50.320,ea:e4:fd:d7:dc:2a, 2015-01-01 00:27:20.040, 0.123, 0.984, 0.006, 0, 0, 0, , , , , , , -1.456, 0.027, 162.191, 4.600, -61.480, 35.373, 28.8, 0.06653, 0.1521, 0.6893, 0.70511,
 08:18:50.350,ea:e4:fd:d7:dc:2a, 2015-01-01 00:27:20.515, 0.124, 0.981, 0.006, 0, 0, 0, , , , , , , -1.472, 0.038, 162.186, 4.600, -61.480, 35.373, 28.8, 0.06653, 0.1521, 0.6893, 0.70511,
 08:18:50.352,fe:77:90:13:0e:6b, 2015-01-01 00:27:20.040, -0.261, 0.875, -0.372, -0.061, -0.977, -0.366, , , , , , , -0.736, 6.13, 160.681, 16.300, -31.733, 30.053, 25.64, 0.19806, 0.06937, 0.83026, 0.51627,
 08:18:50.382,fe:77:90:13:0e:6b, 2015-01-01 00:27:20.515, -0.258, 0.872, -0.374, 1.709, -0.244, -0.061, , , , , , , -0.747, 6.147, 160.675, 16.300, -31.733, 30.053, 25.64, 0.19806, 0.06937, 0.83026, 0.51627,
 08:18:50.384,cd:75:20:e1:ef:ef, 2015-01-01 00:27:19.620, 0.168, 0.972, -0.125, 0, 0, 0, , , , , , , -0.412, -0.121, -17.781, -21.220, -53.827, -34.433, 25.85, 0.66412, 0.72678, -0.17017, -0.04077,
 08:18:50.444,cd:75:20:e1:ef:ef, 2015-01-01 00:27:19.620, 0.165, 0.974, -0.118, 0, 0, 0, , , , , , , -0.374, -0.143, -17.803, -21.220, -53.827, -34.433, 25.85, 0.66229, 0.72852, -0.17004, -0.04047,
 08:18:50.469,ea:e4:fd:d7:dc:2a, 2015-01-01 00:27:20.515, 0.121, 0.993, 0.007, 0, 0, 0, , , , , , , -1.483, 0.038, 162.186, 4.600, -61.480, 35.373, 28.8, 0.06653, 0.1521, 0.6893, 0.70511,
