Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 12:52:04.152,ea:e4:fd:d7:dc:2a, 2015-01-01 00:34:28.700, -0.005, 0.994, -0.003, 0, 0, 0, , , , , , , -0.775, 0.39, -179.566, 0.100, -77.680, 18.373, 30.85, 0.00177, 0.004, -0.70712, -0.70703,
 12:52:04.180,cd:75:20:e1:ef:ef, 2015-01-01 00:34:29.455, 0.102, 0.973, -0.182, 0, 0, 0, , , , , , , 0.11, 0.027, -13.854, -25.827, -80.660, -61.887, 28.91, 0.63824, 0.75861, -0.12479, -0.0383,
 12:52:04.210,cd:75:20:e1:ef:ef, 2015-01-01 00:34:29.455, 0.099, 0.972, -0.18, 0, 0, 0, , , , , , , 0.115, 0.027, -13.859, -25.827, -80.660, -61.887, 28.91, 0.63824, 0.75861, -0.12473, -0.03839,
 12:52:04.239,fe:77:90:13:0e:6b, 2015-01-01 00:34:30.610, -0.007, 0.956, -0.227, 0, 0, 0, , , , , , , 2.911, -1.879, -91.038, -9.913, -53.420, 12.953, 26.7, 0.43301, 0.55051, -0.55994, -0.4425,
 12:52:04.243,ea:e4:fd:d7:dc:2a, 2015-01-01 00:34:28.700, -0.005, 0.997, -0.007, 0, 0, 0, , , , , , , -0.769, 0.39, -179.566, 0.073, -77.660, 17.900, 30.85, 0.00177, 0.004, -0.70712, -0.70703,
 12:52:04.330,fe:77:90:13:0e:6b, 2015-01-01 00:34:30.610, -0.003, 0.956, -0.23, 0, 0, 0, , , , , , , 2.906, -1.879, -91.038, -9.913, -53.420, 12.953, 26.7, 0.43329, 0.5506, -0.55966, -0.44244,
 12:52:04.330,cd:75:20:e1:ef:ef, 2015-01-01 00:34:30.020, 0.099, 0.973, -0.179, 0, 0, 0, , , , , , , 0.115, 0.033, -13.854, -25.827, -80.660, -61.887, 28.91, 0.63824, 0.75861, -0.12473, -0.03839,
 12:52:04.361,ea:e4:fd:d7:dc:2a, 2015-01-01 00:34:29.060, -0.005, 1, -0.004, 0, 0, 0, , , , , , , -0.769, 0.39, -179.555, 0.073, -77.660, 17.900, 30.85, 0.00156, 0.00385, -0.70743, -0.7067,
 12:52:04.420,cd:75:20:e1:ef:ef, 2015-01-01 00:34:30.020, 0.099, 0.972, -0.183, 0, 0, 0, , , , , , , 0.115, 0.033, -13.854, -25.827, -80.660, -61.887, 28.91, 0.63824, 0.75861, -0.12473, -0.03839,
 12:52:04.449,fe:77:90:13:0e:6b, 2015-01-01 00:34:31.025, -0.004, 0.956, -0.229, 0, 0, 0, , , , , , , 2.906, -1.879, -91.027, -9.913, -53.420, 12.953, 26.7, 0.43329, 0.5506, -0.55966, -0.44244,
 12:52:04.451,ea:e4:fd:d7:dc:2a, 2015-01-01 00:34:29.060, -0.005, 0.997, -0.004, 0, 0, 0, , , , , , , -0.764, 0.396, -179.55, 0.073, -77.660, 17.900, 30.85, 0.00156, 0.00385, -0.70743, -0.7067,
 12:52:04.540,fe:77:90:13:0e:6b, 2015-01-01 00:34:31.025, 0, 0.955, -0.229, 0, 0, 0, , , , , , , 2.906, -1.879, -91.027, -9.913, -53.420, 12.953, 26.7, 0.43329, 0.5506, -0.55966, -0.44244,
 12:52:04.541,cd:75:20:e1:ef:ef, 2015-01-01 00:34:30.020, 0.1, 0.972, -0.182, 0, 0, 0, , , , , , , 0.115, 0.038, -13.854, -25.900, -80.820, -62.193, 28.91, 0.63824, 0.75861, -0.12473, -0.03839,
 12:52:04.572,ea:e4:fd:d7:dc:2a, 2015-01-01 00:34:29.060, -0.006, 0.997, -0.006, 0, 0, 0, , , , , , , -0.758, 0.401, -179.544, 0.140, -78.300, 17.753, 30.85, 0.00156, 0.00385, -0.70743, -0.7067,
 12:52:04.632,ea:e4:fd:d7:dc:2a, 2015-01-01 00:34:29.060, -0.005, 0.997, -0.007, 0, 0, 0, , , , , , , -0.753, 0.401, -179.544, 0.140, -78.300, 17.753, 30.85, 0.00159, 0.004, -0.70755, -0.7066,
 12:52:04.689,fe:77:90:13:0e:6b, 2015-01-01 00:34:31.025, 0.001, 0.954, -0.229, 0, 0, 0, , , , , , , 2.917, -1.873, -91.049, -9.773, -53.267, 12.807, 26.7, 0.43329, 0.5506, -0.55966, -0.44244,
 12:52:04.691,cd:75:20:e1:ef:ef, 2015-01-01 00:34:30.020, 0.099, 0.971, -0.183, 0, 0, 0, , , , , , , 0.121, 0.038, -13.859, -25.900, -80.820, -62.193, 28.91, 0.63821, 0.75864, -0.12469, -0.03845,
 12:52:04.752,ea:e4:fd:d7:dc:2a, 2015-01-01 00:34:29.415, -0.001, 0.996, -0.009, 0, 0, 0, , , , , , , -0.742, 0.406, -179.555, 0.140, -78.300, 17.753, 30.85, 0.00159, 0.004, -0.70755, -0.7066,
 12:52:04.778,fe:77:90:13:0e:6b, 2015-01-01 00:34:31.025, -0.004, 0.955, -0.23, 0, 0, 0, , , , , , , 2.922, -1.873, -91.071, -9.773, -53.267, 12.807, 26.7, 0.43329, 0.5506, -0.55966, -0.44244,
 12:52:04.840,cd:75:20:e1:ef:ef, 2015-01-01 00:34:30.020, 0.099, 0.973, -0.184, 0, 0, 0, , , , , , , 0.121, 0.038, -13.859, -25.900, -80.820, -62.193, 28.91, 0.63821, 0.75864, -0.12469, -0.03845,
 12:52:04.842,ea:e4:fd:d7:dc:2a, 2015-01-01 00:34:29.415, -0.007, 0.998, -0.003, 0, 0, 0, , , , , , , -0.747, 0.401, -179.566, 0.140, -78.300, 17.753, 30.85, 0.00159, 0.004, -0.70755, -0.7066,
 12:52:04.876,cd:75:20:e1:ef:ef, 2015-01-01 00:34:30.500, 0.098, 0.973, -0.185, 0, 0, 0, , , , , , , 0.121, 0.038, -13.859, -25.900, -80.820, -62.193, 28.91, 0.63821, 0.75864, -0.12469, -0.03845,
 12:52:04.900,fe:77:90:13:0e:6b, 2015-01-01 00:34:31.025, 0, 0.957, -0.239, 0, 0, 0, , , , , , , 2.922, -1.879, -91.049, -9.773, -53.267, 12.807, 26.7, 0.43317, 0.55054, -0.55981, -0.44244,
 12:52:04.930,cd:75:20:e1:ef:ef, 2015-01-01 00:34:30.500, 0.1, 0.972, -0.187, 0, 0, 0, , , , , , , 0.126, 0.044, -13.859, -25.900, -80.820, -62.193, 28.91, 0.63821, 0.75864, -0.12469, -0.03845,
 12:52:04.960,fe:77:90:13:0e:6b, 2015-01-01 00:34:31.505, -0.003, 0.947, -0.231, 0, 0, 0, , , , , , , 2.922, -1.879, -91.022, -9.773, -53.267, 12.807, 26.7, 0.43317, 0.55054, -0.55981, -0.44244,
 12:52:04.962,ea:e4:fd:d7:dc:2a, 2015-01-01 00:34:29.415, -0.001, 0.993, -0.005, 0, 0, 0, , , , , , , -0.736, 0.396, -179.577, 0.180, -77.693, 18.280, 30.85, 0.00159, 0.004, -0.70755, -0.7066,
 12:52:05.049,cd:75:20:e1:ef:ef, 2015-01-01 00:34:30.500, 0.099, 0.972, -0.18, 0, 0, 0, , , , , , , 0.126, 0.044, -13.865, -25.900, -80.820, -62.193, 28.91, 0.63821, 0.75864, -0.12469, -0.03845,
