Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 14:36:11.594,ea:e4:fd:d7:dc:2a, 2015-01-01 00:04:29.815, 0.149, 0.984, -0.062, 0, 0, 0, , , , , , , 0.143, 0.005, -140.702, -29.587, -52.500, -12.780, 29.52, -0.28143, -0.19553, 0.70139, 0.62491,
 14:36:11.596,fe:77:90:13:0e:6b, 2015-01-01 01:29:44.620, 0.023, 0.923, -0.306, -3.174, 0.793, 0.061, , , , , , , 7.031, 0.044, -16.512, -6.060, -57.700, 8.133, 28.4, 0.58331, 0.79922, -0.12692, -0.06876,
 14:36:11.682,cd:75:20:e1:ef:ef, 2015-01-01 01:31:06.835, 0.135, 0.988, 0.068, 0, 0, 0, , , , , , , 0.643, -0.396, -33.805, -31.707, -59.360, -39.227, 28.24, 0.71265, 0.63541, -0.24457, -0.1687,
 14:36:11.712,fe:77:90:13:0e:6b, 2015-01-01 01:29:45.035, 0.028, 0.926, -0.309, 0.061, -2.441, -0.122, , , , , , , 7.037, 0.082, -16.479, -6.060, -57.700, 8.133, 28.4, 0.58331, 0.79922, -0.12692, -0.06876,
 14:36:11.712,cd:75:20:e1:ef:ef, 2015-01-01 01:31:07.310, 0.136, 0.987, 0.071, 0, 0, 0, , , , , , , 0.648, -0.396, -33.799, -31.707, -59.360, -39.227, 28.24, 0.71265, 0.63541, -0.24457, -0.1687,
 14:36:11.714,ea:e4:fd:d7:dc:2a, 2015-01-01 00:04:29.815, 0.146, 0.983, -0.056, 0, 0, 0, , , , , , , 0.137, 0.005, -140.696, -29.587, -52.500, -12.780, 29.52, -0.28143, -0.19553, 0.70139, 0.62491,
 14:36:11.774,fe:77:90:13:0e:6b, 2015-01-01 01:29:45.035, 0.02, 0.929, -0.312, -1.77, -2.747, 0.183, , , , , , , 7.081, 0.132, -16.595, -6.060, -57.700, 8.133, 28.4, 0.58331, 0.79922, -0.12692, -0.06876,
 14:36:11.831,cd:75:20:e1:ef:ef, 2015-01-01 01:31:07.310, 0.134, 0.986, 0.071, 0, 0, 0, , , , , , , 0.648, -0.396, -33.794, -31.707, -59.360, -39.227, 28.24, 0.71265, 0.63541, -0.24457, -0.1687,
 14:36:11.834,ea:e4:fd:d7:dc:2a, 2015-01-01 00:04:29.815, 0.15, 0.983, -0.053, 0, 0, 0, , , , , , , 0.132, 0.011, -140.691, -29.607, -52.973, -11.600, 29.52, -0.28143, -0.19553, 0.70139, 0.62491,
 14:36:11.895,ea:e4:fd:d7:dc:2a, 2015-01-01 00:04:29.815, 0.151, 0.982, -0.055, 0, 0, 0, , , , , , , 0.121, 0.011, -140.685, -29.607, -52.973, -11.600, 29.52, -0.28143, -0.19553, 0.70139, 0.62491,
