Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 13:17:09.136,fe:77:90:13:0e:6b, 2015-01-01 00:59:24.680, -0.013, 0.936, -0.292, 0, 0, 0, , , , , , , 0.621, 0.412, -74.745, -8.367, -56.100, 14.093, 27.99, 0.46631, 0.64258, -0.48724, -0.36346,
 13:17:09.169,ea:e4:fd:d7:dc:2a, 2015-01-01 00:59:22.750, -0.045, 0.979, -0.194, 0, 0, 0, , , , , , , 0.791, -0.434, 169.266, 5.440, -84.867, 24.033, 29.44, 0.07736, 0.05713, 0.76489, 0.63684,
 13:17:09.256,fe:77:90:13:0e:6b, 2015-01-01 00:59:24.680, -0.009, 0.934, -0.287, 0, 0, 0, , , , , , , 0.593, 0.412, -74.691, -8.367, -56.100, 14.093, 27.99, 0.46725, 0.64313, -0.48602, -0.36295,
 13:17:09.318,ea:e4:fd:d7:dc:2a, 2015-01-01 00:59:23.140, -0.045, 0.974, -0.188, 0, 0, 0, , , , , , , 0.818, -0.439, 169.266, 5.440, -84.867, 24.033, 29.44, 0.07736, 0.05713, 0.76489, 0.63684,
 13:17:09.346,fe:77:90:13:0e:6b, 2015-01-01 00:59:25.100, -0.006, 0.936, -0.287, 0, 0, 0, , , , , , , 0.577, 0.412, -74.647, -8.367, -56.100, 14.093, 27.99, 0.46725, 0.64313, -0.48602, -0.36295,
 13:17:09.379,ea:e4:fd:d7:dc:2a, 2015-01-01 00:59:23.140, -0.045, 0.976, -0.192, 0, 0, 0, , , , , , , 0.84, -0.434, 169.255, 5.440, -84.867, 24.033, 29.44, 0.07736, 0.05713, 0.76489, 0.63684,
 13:17:09.466,fe:77:90:13:0e:6b, 2015-01-01 00:59:25.100, -0.009, 0.933, -0.288, 0, 0, 0, , , , , , , 0.555, 0.412, -74.597, -8.367, -56.100, 14.093, 27.99, 0.46725, 0.64313, -0.48602, -0.36295,
 13:17:09.469,ea:e4:fd:d7:dc:2a, 2015-01-01 00:59:23.140, -0.043, 0.978, -0.191, 0, 0, 0, , , , , , , 0.862, -0.428, 169.25, 5.833, -85.220, 23.387, 29.44, 0.07736, 0.05713, 0.76489, 0.63684,
 13:17:09.556,fe:77:90:13:0e:6b, 2015-01-01 00:59:25.100, -0.013, 0.937, -0.288, 0, 0, 0, , , , , , , 0.544, 0.406, -74.553, -8.967, -56.360, 14.667, 27.99, 0.46725, 0.64313, -0.48602, -0.36295,
 13:17:09.589,ea:e4:fd:d7:dc:2a, 2015-01-01 00:59:23.465, -0.044, 0.978, -0.192, 0, 0, 0, , , , , , , 0.884, -0.417, 169.244, 5.833, -85.220, 23.387, 29.44, 0.07758, 0.05725, 0.76535, 0.63629,
 13:17:09.649,ea:e4:fd:d7:dc:2a, 2015-01-01 00:59:23.465, -0.046, 0.976, -0.19, 0, 0, 0, , , , , , , 0.906, -0.428, 169.244, 5.833, -85.220, 23.387, 29.44, 0.07758, 0.05725, 0.76535, 0.63629,
 13:17:09.677,fe:77:90:13:0e:6b, 2015-01-01 00:59:25.100, -0.004, 0.935, -0.29, 0, 0, 0, , , , , , , 0.538, 0.401, -74.515, -8.967, -56.360, 14.667, 27.99, 0.46817, 0.64365, -0.48489, -0.36237,
 13:17:09.765,fe:77:90:13:0e:6b, 2015-01-01 00:59:25.515, -0.009, 0.936, -0.287, 0, 0, 0, , , , , , , 0.533, 0.401, -74.476, -8.967, -56.360, 14.667, 27.99, 0.46817, 0.64365, -0.48489, -0.36237,
 13:17:09.828,ea:e4:fd:d7:dc:2a, 2015-01-01 00:59:23.465, -0.045, 0.973, -0.194, 0, 0, 0, , , , , , , 0.928, -0.428, 169.239, 5.833, -85.220, 23.387, 29.44, 0.07758, 0.05725, 0.76535, 0.63629,
 13:17:09.859,ea:e4:fd:d7:dc:2a, 2015-01-01 00:59:23.465, -0.042, 0.976, -0.192, 0, 0, 0, , , , , , , 0.945, -0.423, 169.233, 5.280, -84.913, 23.587, 29.44, 0.07758, 0.05725, 0.76535, 0.63629,
 13:17:09.887,fe:77:90:13:0e:6b, 2015-01-01 00:59:25.515, -0.007, 0.938, -0.284, 0, 0, 0, , , , , , , 0.522, 0.401, -74.432, -8.967, -56.360, 14.667, 27.99, 0.46817, 0.64365, -0.48489, -0.36237,
 13:17:09.947,fe:77:90:13:0e:6b, 2015-01-01 00:59:25.515, -0.01, 0.938, -0.281, 0, 0, 0, , , , , , , 0.494, 0.401, -74.388, -8.813, -56.753, 14.207, 27.99, 0.46817, 0.64365, -0.48489, -0.36237,
 13:17:09.979,ea:e4:fd:d7:dc:2a, 2015-01-01 00:59:23.885, -0.042, 0.975, -0.191, 0, 0, 0, , , , , , , 0.967, -0.434, 169.228, 5.280, -84.913, 23.587, 29.44, 0.07751, 0.0575, 0.76581, 0.63568,
 13:17:10.066,fe:77:90:13:0e:6b, 2015-01-01 00:59:25.515, -0.009, 0.938, -0.284, 0, 0, 0, , , , , , , 0.461, 0.401, -74.339, -8.813, -56.753, 14.207, 27.99, 0.46915, 0.64404, -0.48367, -0.362,
 13:17:10.068,ea:e4:fd:d7:dc:2a, 2015-01-01 00:59:23.885, -0.045, 0.978, -0.186, 0, 0, 0, , , , , , , 0.989, -0.439, 169.222, 5.280, -84.913, 23.587, 29.44, 0.07751, 0.0575, 0.76581, 0.63568,
 13:17:10.156,fe:77:90:13:0e:6b, 2015-01-01 00:59:25.930, -0.01, 0.935, -0.287, 0, 0, 0, , , , , , , 0.439, 0.401, -74.29, -8.813, -56.753, 14.207, 27.99, 0.46915, 0.64404, -0.48367, -0.362,
 13:17:10.189,ea:e4:fd:d7:dc:2a, 2015-01-01 00:59:23.885, -0.045, 0.976, -0.192, 0, 0, 0, , , , , , , 1.005, -0.439, 169.217, 5.280, -84.913, 23.587, 29.44, 0.07751, 0.0575, 0.76581, 0.63568,
 13:17:10.277,fe:77:90:13:0e:6b, 2015-01-01 00:59:25.930, -0.006, 0.936, -0.287, 0, 0, 0, , , , , , , 0.428, 0.396, -74.246, -8.813, -56.753, 14.207, 27.99, 0.46915, 0.64404, -0.48367, -0.362,
 13:17:10.309,ea:e4:fd:d7:dc:2a, 2015-01-01 00:59:23.885, -0.043, 0.978, -0.192, 0, 0, 0, , , , , , , 1.027, -0.439, 169.211, 5.673, -84.947, 23.587, 29.44, 0.07751, 0.0575, 0.76581, 0.63568,
 13:17:10.370,fe:77:90:13:0e:6b, 2015-01-01 00:59:25.930, -0.005, 0.936, -0.287, 0, 0, 0, , , , , , , 0.417, 0.39, -74.202, -8.813, -56.753, 14.207, 27.99, 0.46915, 0.64404, -0.48367, -0.362,
 13:17:10.370,ea:e4:fd:d7:dc:2a, 2015-01-01 00:59:23.885, -0.045, 0.976, -0.193, 0, 0, 0, , , , , , , 1.044, -0.434, 169.2, 5.673, -84.947, 23.587, 29.44, 0.07761, 0.05771, 0.7662, 0.63519,
 13:17:10.458,ea:e4:fd:d7:dc:2a, 2015-01-01 00:59:24.330, -0.043, 0.979, -0.191, 0, 0, 0, , , , , , , 1.06, -0.439, 169.195, 5.673, -84.947, 23.587, 29.44, 0.07761, 0.05771, 0.7662, 0.63519,
 13:17:10.518,fe:77:90:13:0e:6b, 2015-01-01 00:59:25.930, -0.009, 0.936, -0.287, 0, 0, 0, , , , , , , 0.412, 0.385, -74.163, -8.947, -55.940, 14.613, 27.99, 0.47012, 0.64456, -0.48257, -0.36127,
 13:17:10.546,fe:77:90:13:0e:6b, 2015-01-01 00:59:26.320, -0.005, 0.937, -0.283, 0, 0, 0, , , , , , , 0.417, 0.374, -74.136, -8.947, -55.940, 14.613, 27.99, 0.47012, 0.64456, -0.48257, -0.36127,
 13:17:10.578,ea:e4:fd:d7:dc:2a, 2015-01-01 00:59:24.330, -0.044, 0.975, -0.191, 0, 0, 0, , , , , , , 1.077, -0.45, 169.189, 5.673, -84.947, 23.587, 29.44, 0.07761, 0.05771, 0.7662, 0.63519,
 13:17:10.669,ea:e4:fd:d7:dc:2a, 2015-01-01 00:59:24.330, -0.044, 0.979, -0.19, 0, 0, 0, , , , , , , 1.093, -0.456, 169.184, 5.673, -84.947, 23.587, 29.44, 0.07761, 0.05771, 0.7662, 0.63519,
 13:17:10.726,fe:77:90:13:0e:6b, 2015-01-01 00:59:26.320, -0.003, 0.939, -0.284, 0, 0, 0, , , , , , , 0.401, 0.363, -74.097, -8.947, -55.940, 14.613, 27.99, 0.47012, 0.64456, -0.48257, -0.36127,
 13:17:10.757,fe:77:90:13:0e:6b, 2015-01-01 00:59:26.320, -0.004, 0.937, -0.283, 0, 0, 0, , , , , , , 0.385, 0.357, -74.053, -8.947, -55.940, 14.613, 27.99, 0.47012, 0.64456, -0.48257, -0.36127,
