Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 17:18:36.724,fe:77:90:13:0e:6b, 2015-01-01 00:56:45.130, -0.005, 0.965, -0.176, 1.831, -0.549, -0.122, , , , , , , -4.164, 0.423, -171.777, -3.580, -24.380, 31.180, 31.64, 0.04239, 0.05792, -0.7637, -0.64151,
 17:18:36.726,cd:75:20:e1:ef:ef, 2015-01-01 00:56:44.135, 0.005, 0.988, -0.12, 0, 0, 0, , , , , , , 4.471, -0.89, -30.438, -13.060, -34.127, -18.907, 29.9, 0.64816, 0.71454, -0.20001, -0.17093,
 17:18:36.757,ea:e4:fd:d7:dc:2a, 2015-01-01 00:56:43.280, 0.027, 0.987, -0.138, 0, 0, 0, , , , , , , -0.461, -0.687, 158.033, 6.107, -43.500, 22.987, 30.22, 0.11151, 0.15521, 0.73737, 0.6478,
 17:18:36.844,fe:77:90:13:0e:6b, 2015-01-01 00:56:45.130, -0.005, 0.965, -0.179, 0, 0, 0, , , , , , , -4.153, 0.423, -171.777, -3.767, -24.507, 30.867, 31.64, 0.04239, 0.05792, -0.7637, -0.64151,
 17:18:36.846,ea:e4:fd:d7:dc:2a, 2015-01-01 00:56:43.280, 0.026, 0.989, -0.142, 0, 0, 0, , , , , , , -0.456, -0.676, 158.027, 5.907, -43.627, 24.333, 30.22, 0.11151, 0.15521, 0.73737, 0.6478,
 17:18:36.846,cd:75:20:e1:ef:ef, 2015-01-01 00:56:44.135, 0.003, 0.989, -0.121, 0, 0, 0, , , , , , , 4.499, -0.873, -30.416, -13.227, -33.767, -19.407, 29.9, 0.64816, 0.71454, -0.20001, -0.17093,
 17:18:36.874,fe:77:90:13:0e:6b, 2015-01-01 00:56:45.130, -0.001, 0.967, -0.183, 0, 0, 0, , , , , , , -4.142, 0.417, -171.771, -3.767, -24.507, 30.867, 31.64, 0.04245, 0.05798, -0.76382, -0.64133,
 17:18:36.876,cd:75:20:e1:ef:ef, 2015-01-01 00:56:44.135, 0.002, 0.988, -0.121, 0, 0, 0, , , , , , , 4.532, -0.862, -30.41, -13.227, -33.767, -19.407, 29.9, 0.64737, 0.71552, -0.19922, -0.17068,
 17:18:36.968,ea:e4:fd:d7:dc:2a, 2015-01-01 00:56:43.280, 0.035, 0.991, -0.14, 0, 0, 0, , , , , , , -0.445, -0.665, 158.022, 5.907, -43.627, 24.333, 30.22, 0.11209, 0.15506, 0.73749, 0.64761,
 17:18:37.024,fe:77:90:13:0e:6b, 2015-01-01 00:56:45.610, -0.005, 0.964, -0.188, 0, 0, 0, , , , , , , -4.12, 0.406, -171.771, -3.767, -24.507, 30.867, 31.64, 0.04245, 0.05798, -0.76382, -0.64133,
 17:18:37.026,cd:75:20:e1:ef:ef, 2015-01-01 00:56:44.610, 0.005, 0.987, -0.119, 0, 0, 0, , , , , , , 4.559, -0.846, -30.394, -13.227, -33.767, -19.407, 29.9, 0.64737, 0.71552, -0.19922, -0.17068,
 17:18:37.028,ea:e4:fd:d7:dc:2a, 2015-01-01 00:56:43.695, 0.034, 0.99, -0.135, 0, 0, 0, , , , , , , -0.439, -0.654, 158.022, 5.907, -43.627, 24.333, 30.22, 0.11209, 0.15506, 0.73749, 0.64761,
 17:18:37.084,fe:77:90:13:0e:6b, 2015-01-01 00:56:45.610, -0.001, 0.965, -0.18, 0, 0, 0, , , , , , , -4.098, 0.396, -171.766, -3.767, -24.507, 30.867, 31.64, 0.04245, 0.05798, -0.76382, -0.64133,
 17:18:37.086,cd:75:20:e1:ef:ef, 2015-01-01 00:56:44.610, 0.005, 0.988, -0.119, 0, 0, 0, , , , , , , 4.581, -0.829, -30.372, -13.227, -33.767, -19.407, 29.9, 0.64737, 0.71552, -0.19922, -0.17068,
 17:18:37.148,ea:e4:fd:d7:dc:2a, 2015-01-01 00:56:43.695, 0.032, 0.984, -0.139, 0, 0, 0, , , , , , , -0.434, -0.643, 158.011, 5.907, -43.627, 24.333, 30.22, 0.11209, 0.15506, 0.73749, 0.64761,
