Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 13:55:38.731,cd:75:20:e1:ef:ef, 2015-01-01 00:30:51.000, 0.093, 0.988, -0.055, 0, 0, 0, , , , , , , 0.412, -0.165, -9.91, -18.287, -72.187, -60.793, 28.47, 0.68594, 0.72092, -0.095, -0.02502,
 13:55:38.760,ea:e4:fd:d7:dc:2a, 2015-01-01 01:33:17.450, 0.138, 0.987, -0.081, 0, 0, 0, , , , , , , -0.417, -0.06, 149.167, 0.333, -78.533, 25.627, 29.85, 0.12936, 0.24146, 0.69312, 0.66666,
 13:55:38.850,cd:75:20:e1:ef:ef, 2015-01-01 00:30:51.000, 0.095, 0.99, -0.068, 0, 0, 0, , , , , , , 0.423, -0.17, -9.91, -18.287, -72.187, -60.793, 28.47, 0.68567, 0.72116, -0.09512, -0.0249,
 13:55:38.852,fe:77:90:13:0e:6b, 2015-01-01 00:28:24.055, 0.076, 0.932, -0.252, -0.061, 0.366, 0.305, , , , , , , -0.912, 0.231, -98.157, -5.540, -49.720, 12.633, 29.4, 0.41998, 0.50272, -0.6073, -0.4494,
 13:55:38.879,ea:e4:fd:d7:dc:2a, 2015-01-01 01:33:17.450, 0.146, 0.977, -0.08, 0, 0, 0, , , , , , , -0.412, -0.06, 149.167, 0.333, -78.533, 25.627, 29.85, 0.12936, 0.24146, 0.69312, 0.66666,
 13:55:38.880,cd:75:20:e1:ef:ef, 2015-01-01 00:30:51.505, 0.096, 0.987, -0.063, 0, 0, 0, , , , , , , 0.434, -0.17, -9.91, -18.287, -72.187, -60.793, 28.47, 0.68567, 0.72116, -0.09512, -0.0249,
 13:55:38.912,fe:77:90:13:0e:6b, 2015-01-01 00:28:24.055, 0.066, 0.954, -0.241, 0.916, 0.549, -0.122, , , , , , , -0.802, 0.126, -98.229, -5.540, -49.720, 12.633, 29.4, 0.41998, 0.50272, -0.6073, -0.4494,
 13:55:38.970,ea:e4:fd:d7:dc:2a, 2015-01-01 01:33:17.450, 0.141, 0.989, -0.074, 0, 0, 0, , , , , , , -0.412, -0.066, 149.172, 0.147, -78.480, 25.940, 29.85, 0.12936, 0.24146, 0.69312, 0.66666,
 13:55:39.002,cd:75:20:e1:ef:ef, 2015-01-01 00:30:51.505, 0.093, 0.99, -0.059, 0, 0, 0, , , , , , , 0.439, -0.176, -9.91, -18.287, -72.187, -60.793, 28.47, 0.68567, 0.72116, -0.09512, -0.0249,
 13:55:39.032,fe:77:90:13:0e:6b, 2015-01-01 00:28:24.055, 0.055, 0.911, -0.266, 0.854, 0.061, -0.793, , , , , , , -0.632, 0.176, -98.207, -5.540, -49.720, 12.633, 29.4, 0.41998, 0.50272, -0.6073, -0.4494,
