Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 13:28:24.713,fe:77:90:13:0e:6b, 2015-01-01 00:22:27.025, 0.069, 0.829, -0.512, 0, -0.488, -0.732, , , , , , , 1.241, 0.297, -1.967, -3.960, -56.440, 19.507, 26.75, 0.4939, 0.86877, -0.02991, 0.01636,
 13:28:24.715,ea:e4:fd:d7:dc:2a, 2015-01-01 00:23:30.580, 0.089, 0.985, -0.132, 0, 0, 0, , , , , , , -1.84, 0.077, 48.142, 4.833, -68.107, 0.327, 31.54, 0.58206, 0.70297, 0.2822, 0.29544,
 13:28:24.743,cd:75:20:e1:ef:ef, 2015-01-01 00:23:49.430, 0.181, 0.931, -0.286, 0, 0, 0, , , , , , , 0.236, -0.121, -12.942, -24.407, -73.480, -38.367, 29.22, 0.59918, 0.78766, -0.14304, 0.00415,
 13:28:24.776,ea:e4:fd:d7:dc:2a, 2015-01-01 00:23:30.580, 0.091, 0.987, -0.128, 0, 0, 0, , , , , , , -1.813, 0.11, 48.175, 4.833, -68.107, 0.327, 31.54, 0.58206, 0.70297, 0.2822, 0.29544,
 13:28:24.803,fe:77:90:13:0e:6b, 2015-01-01 00:22:27.025, 0.068, 0.827, -0.51, -0.671, 1.038, -1.16, , , , , , , 1.263, 0.269, -1.956, -3.960, -56.440, 19.507, 26.75, 0.49222, 0.86975, -0.02905, 0.01678,
 13:28:24.832,cd:75:20:e1:ef:ef, 2015-01-01 00:23:49.430, 0.18, 0.933, -0.284, 0, 0, 0, , , , , , , 0.242, -0.126, -12.947, -24.407, -73.480, -38.367, 29.22, 0.59918, 0.78766, -0.14304, 0.00415,
 13:28:24.893,fe:77:90:13:0e:6b, 2015-01-01 00:22:27.445, 0.074, 0.822, -0.51, 0.793, 1.709, -1.77, , , , , , , 1.285, 0.236, -1.95, -3.960, -56.440, 19.507, 26.75, 0.49222, 0.86975, -0.02905, 0.01678,
 13:28:24.895,ea:e4:fd:d7:dc:2a, 2015-01-01 00:23:30.580, 0.085, 0.982, -0.143, 0, 0, 0, , , , , , , -1.785, 0.126, 48.203, 4.800, -68.100, 0.633, 31.54, 0.58057, 0.70331, 0.28391, 0.29593,
 13:28:24.951,cd:75:20:e1:ef:ef, 2015-01-01 00:23:49.430, 0.175, 0.931, -0.287, 0, 0, 0, , , , , , , 0.253, -0.132, -12.947, -24.807, -73.327, -38.287, 29.22, 0.59918, 0.78766, -0.14304, 0.00415,
 13:28:24.983,fe:77:90:13:0e:6b, 2015-01-01 00:22:27.445, 0.05, 0.809, -0.51, 1.465, -2.747, -2.563, , , , , , , 1.313, 0.401, -2.159, -3.960, -56.440, 19.507, 26.75, 0.49222, 0.86975, -0.02905, 0.01678,
 13:28:24.984,ea:e4:fd:d7:dc:2a, 2015-01-01 00:23:30.905, 0.081, 0.985, -0.139, 0, 0, 0, , , , , , , -1.774, 0.132, 48.29, 4.800, -68.100, 0.633, 31.54, 0.58057, 0.70331, 0.28391, 0.29593,
 13:28:25.042,cd:75:20:e1:ef:ef, 2015-01-01 00:23:49.430, 0.176, 0.931, -0.291, 0, 0, 0, , , , , , , 0.269, -0.137, -12.953, -24.807, -73.327, -38.287, 29.22, 0.59885, 0.78787, -0.14325, 0.00421,
 13:28:25.103,fe:77:90:13:0e:6b, 2015-01-01 00:22:27.445, 0.061, 0.836, -0.511, 1.465, 0.793, -2.686, , , , , , , 1.461, 0.648, -1.879, -3.960, -56.440, 19.507, 26.75, 0.49222, 0.86975, -0.02905, 0.01678,
 13:28:25.104,ea:e4:fd:d7:dc:2a, 2015-01-01 00:23:30.905, 0.089, 0.982, -0.141, 0, 0, 0, , , , , , , -1.758, 0.132, 48.318, 4.800, -68.100, 0.633, 31.54, 0.58057, 0.70331, 0.28391, 0.29593,
 13:28:25.132,cd:75:20:e1:ef:ef, 2015-01-01 00:23:49.845, 0.177, 0.934, -0.297, 0, 0, 0, , , , , , , 0.286, -0.137, -12.964, -24.807, -73.327, -38.287, 29.22, 0.59885, 0.78787, -0.14325, 0.00421,
 13:28:25.192,fe:77:90:13:0e:6b, 2015-01-01 00:22:27.445, 0.052, 0.826, -0.519, 0.916, -1.099, -2.38, , , , , , , 1.533, 0.626, -1.807, -3.067, -56.313, 20.013, 26.75, 0.49222, 0.86975, -0.02905, 0.01678,
 13:28:25.194,ea:e4:fd:d7:dc:2a, 2015-01-01 00:23:30.905, 0.091, 0.98, -0.136, 0, 0, 0, , , , , , , -1.653, 0.198, 48.246, 4.973, -68.113, 0.913, 31.54, 0.58057, 0.70331, 0.28391, 0.29593,
 13:28:25.222,cd:75:20:e1:ef:ef, 2015-01-01 00:23:49.845, 0.178, 0.931, -0.293, 0, 0, 0, , , , , , , 0.308, -0.137, -12.969, -24.807, -73.327, -38.287, 29.22, 0.59885, 0.78787, -0.14325, 0.00421,
 13:28:25.314,ea:e4:fd:d7:dc:2a, 2015-01-01 00:23:31.265, 0.083, 0.983, -0.138, 0, 0, 0, , , , , , , -1.566, 0.253, 48.351, 4.973, -68.113, 0.913, 31.54, 0.57932, 0.7038, 0.28589, 0.29529,
 13:28:25.341,cd:75:20:e1:ef:ef, 2015-01-01 00:23:49.845, 0.177, 0.93, -0.291, 0, 0, 0, , , , , , , 0.324, -0.143, -12.975, -24.807, -73.327, -38.287, 29.22, 0.59885, 0.78787, -0.14325, 0.00421,
 13:28:25.373,fe:77:90:13:0e:6b, 2015-01-01 00:22:27.445, 0.06, 0.822, -0.516, -2.563, -0.793, -1.648, , , , , , , 1.56, 0.621, -1.78, -3.067, -56.313, 20.013, 26.75, 0.49005, 0.87112, -0.02609, 0.01477,
 13:28:25.375,ea:e4:fd:d7:dc:2a, 2015-01-01 00:23:31.265, 0.077, 0.983, -0.146, 0, 0, 0, , , , , , , -1.637, 0.28, 48.466, 4.973, -68.113, 0.913, 31.54, 0.57932, 0.7038, 0.28589, 0.29529,
 13:28:25.403,fe:77:90:13:0e:6b, 2015-01-01 00:22:27.920, 0.055, 0.812, -0.51, -0.793, 0, 1.099, , , , , , , 1.577, 0.621, -1.769, -3.067, -56.313, 20.013, 26.75, 0.49005, 0.87112, -0.02609, 0.01477,
 13:28:25.431,cd:75:20:e1:ef:ef, 2015-01-01 00:23:49.845, 0.175, 0.932, -0.298, 0, 0, 0, , , , , , , 0.346, -0.143, -12.98, -24.480, -73.420, -38.287, 29.22, 0.59885, 0.78787, -0.14325, 0.00421,
 13:28:25.522,fe:77:90:13:0e:6b, 2015-01-01 00:22:27.920, 0.056, 0.841, -0.503, -2.625, -0.183, -0.732, , , , , , , 1.588, 0.615, -1.741, -3.067, -56.313, 20.013, 26.75, 0.49005, 0.87112, -0.02609, 0.01477,
 13:28:25.524,ea:e4:fd:d7:dc:2a, 2015-01-01 00:23:31.265, 0.081, 0.978, -0.142, 0, 0, 0, , , , , , , -1.719, 0.335, 48.56, 4.973, -68.113, 0.913, 31.54, 0.57932, 0.7038, 0.28589, 0.29529,
 13:28:25.582,cd:75:20:e1:ef:ef, 2015-01-01 00:23:49.845, 0.174, 0.929, -0.296, 0, 0, 0, , , , , , , 0.374, -0.137, -12.986, -24.480, -73.420, -38.287, 29.22, 0.59811, 0.78839, -0.14349, 0.00418,
 13:28:25.584,ea:e4:fd:d7:dc:2a, 2015-01-01 00:23:31.265, 0.08, 0.985, -0.142, 0, 0, 0, , , , , , , -1.73, 0.346, 48.587, 5.000, -68.340, 0.800, 31.54, 0.57932, 0.7038, 0.28589, 0.29529,
 13:28:25.642,fe:77:90:13:0e:6b, 2015-01-01 00:22:27.920, 0.054, 0.825, -0.502, 0.244, -3.54, 0.427, , , , , , , 1.582, 0.621, -1.736, -3.067, -56.313, 20.013, 26.75, 0.49005, 0.87112, -0.02609, 0.01477,
 13:28:25.672,cd:75:20:e1:ef:ef, 2015-01-01 00:23:49.845, 0.177, 0.93, -0.292, 0, 0, 0, , , , , , , 0.396, -0.137, -12.997, -24.480, -73.420, -38.287, 29.22, 0.59811, 0.78839, -0.14349, 0.00418,
 13:28:25.704,ea:e4:fd:d7:dc:2a, 2015-01-01 00:23:31.680, 0.078, 0.985, -0.137, 0, 0, 0, , , , , , , -1.747, 0.352, 48.598, 5.000, -68.340, 0.800, 31.54, 0.58011, 0.70206, 0.28738, 0.29645,
 13:28:25.732,cd:75:20:e1:ef:ef, 2015-01-01 00:23:50.385, 0.174, 0.928, -0.3, 0, 0, 0, , , , , , , 0.417, -0.137, -13.002, -24.480, -73.420, -38.287, 29.22, 0.59811, 0.78839, -0.14349, 0.00418,
 13:28:25.762,fe:77:90:13:0e:6b, 2015-01-01 00:22:27.920, 0.056, 0.826, -0.506, 1.892, -2.808, 0.427, , , , , , , 1.708, 0.698, -2.049, -3.413, -56.020, 19.140, 26.75, 0.49005, 0.87112, -0.02609, 0.01477,
 13:28:25.794,fe:77:90:13:0e:6b, 2015-01-01 00:22:27.920, 0.054, 0.823, -0.509, 1.587, 0.122, -0.122, , , , , , , 1.835, 0.687, -2.142, -3.413, -56.020, 19.140, 26.75, 0.48801, 0.87222, -0.02859, 0.01279,
 13:28:25.794,ea:e4:fd:d7:dc:2a, 2015-01-01 00:23:31.680, 0.08, 0.984, -0.134, 0, 0, 0, , , , , , , -1.769, 0.346, 48.598, 5.000, -68.340, 0.800, 31.54, 0.58011, 0.70206, 0.28738, 0.29645,
