Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 14:03:15.980,fe:77:90:13:0e:6b, 2015-01-01 00:57:03.620, -0.18, 0.843, -0.455, 0, 0, 0, , , , , , , -2.829, 0.445, 1.395, 11.167, -58.627, 15.693, 27.38, 0.51038, 0.85486, 0.05765, -0.07285,
 14:03:16.008,cd:75:20:e1:ef:ef, 2015-01-01 00:58:25.375, 0.149, 0.975, 0.169, 0, 0, 0, , , , , , , 0.637, -0.198, -26.708, -25.813, -55.433, -45.300, 28.69, 0.754, 0.61096, -0.2027, -0.13052,
 14:03:16.040,cd:75:20:e1:ef:ef, 2015-01-01 00:58:25.910, 0.149, 0.976, 0.166, 0, 0, 0, , , , , , , 0.643, -0.198, -26.686, -25.813, -55.433, -45.300, 28.69, 0.754, 0.61096, -0.2027, -0.13052,
 14:03:16.042,ea:e4:fd:d7:dc:2a, 2015-01-01 00:02:39.185, 0.19, 0.978, -0.066, 0, 0, 0, , , , , , , -1.088, -0.214, 43.616, -3.413, -67.173, -3.713, 30.61, 0.60382, 0.70096, 0.21329, 0.31372,
 14:03:16.100,fe:77:90:13:0e:6b, 2015-01-01 00:57:03.620, -0.181, 0.842, -0.455, 0, 0, 0, , , , , , , -2.829, 0.439, 1.39, 10.953, -58.860, 15.693, 27.38, 0.51038, 0.85486, 0.05765, -0.07285,
 14:03:16.101,ea:e4:fd:d7:dc:2a, 2015-01-01 00:02:39.185, 0.186, 0.976, -0.069, 0, 0, 0, , , , , , , -1.093, -0.22, 43.643, -3.413, -67.173, -3.713, 30.61, 0.60382, 0.70096, 0.21329, 0.31372,
 14:03:16.158,cd:75:20:e1:ef:ef, 2015-01-01 00:58:25.910, 0.149, 0.975, 0.167, 0, 0, 0, , , , , , , 0.648, -0.198, -26.669, -25.813, -55.433, -45.300, 28.69, 0.754, 0.61096, -0.2027, -0.13052,
 14:03:16.188,cd:75:20:e1:ef:ef, 2015-01-01 00:58:25.910, 0.147, 0.973, 0.167, 0, 0, 0, , , , , , , 0.654, -0.203, -26.653, -25.813, -55.433, -45.300, 28.69, 0.754, 0.61096, -0.2027, -0.13052,
 14:03:16.190,fe:77:90:13:0e:6b, 2015-01-01 00:57:03.620, -0.18, 0.843, -0.454, 0, 0, 0, , , , , , , -2.829, 0.434, 1.373, 10.953, -58.860, 15.693, 27.38, 0.5105, 0.8548, 0.05728, -0.07294,
 14:03:16.220,ea:e4:fd:d7:dc:2a, 2015-01-01 00:02:39.185, 0.187, 0.978, -0.064, 0, 0, 0, , , , , , , -1.093, -0.225, 43.671, -3.400, -67.187, -2.907, 30.61, 0.60358, 0.70074, 0.21381, 0.31436,
 14:03:16.311,fe:77:90:13:0e:6b, 2015-01-01 00:57:04.035, -0.182, 0.838, -0.456, 0, 0, 0, , , , , , , -2.834, 0.428, 1.357, 10.953, -58.860, 15.693, 27.38, 0.5105, 0.8548, 0.05728, -0.07294,
 14:03:16.311,ea:e4:fd:d7:dc:2a, 2015-01-01 00:02:39.545, 0.19, 0.98, -0.067, 0, 0, 0, , , , , , , -1.093, -0.225, 43.704, -3.400, -67.187, -2.907, 30.61, 0.60358, 0.70074, 0.21381, 0.31436,
 14:03:16.368,cd:75:20:e1:ef:ef, 2015-01-01 00:58:25.910, 0.149, 0.974, 0.167, 0, 0, 0, , , , , , , 0.659, -0.203, -26.642, -26.107, -55.727, -45.760, 28.69, 0.754, 0.61096, -0.2027, -0.13052,
 14:03:16.370,fe:77:90:13:0e:6b, 2015-01-01 00:57:04.035, -0.18, 0.843, -0.453, 0, 0, 0, , , , , , , -2.834, 0.428, 1.346, 10.953, -58.860, 15.693, 27.38, 0.5105, 0.8548, 0.05728, -0.07294,
 14:03:16.399,cd:75:20:e1:ef:ef, 2015-01-01 00:58:25.910, 0.151, 0.972, 0.166, 0, 0, 0, , , , , , , 0.665, -0.209, -26.625, -26.107, -55.727, -45.760, 28.69, 0.75394, 0.61127, -0.20236, -0.12988,
 14:03:16.432,ea:e4:fd:d7:dc:2a, 2015-01-01 00:02:39.545, 0.191, 0.975, -0.069, 0, 0, 0, , , , , , , -1.093, -0.236, 43.726, -3.400, -67.187, -2.907, 30.61, 0.60358, 0.70074, 0.21381, 0.31436,
 14:03:16.489,fe:77:90:13:0e:6b, 2015-01-01 00:57:04.035, -0.177, 0.845, -0.454, 0, 0, 0, , , , , , , -2.834, 0.423, 1.335, 10.953, -58.860, 15.693, 27.38, 0.5105, 0.8548, 0.05728, -0.07294,
 14:03:16.491,ea:e4:fd:d7:dc:2a, 2015-01-01 00:02:39.545, 0.189, 0.977, -0.067, 0, 0, 0, , , , , , , -1.088, -0.236, 43.759, -3.287, -67.260, -3.420, 30.61, 0.60358, 0.70074, 0.21381, 0.31436,
 14:03:16.519,cd:75:20:e1:ef:ef, 2015-01-01 00:58:26.420, 0.153, 0.975, 0.168, 0, 0, 0, , , , , , , 0.67, -0.209, -26.603, -26.107, -55.727, -45.760, 28.69, 0.75394, 0.61127, -0.20236, -0.12988,
 14:03:16.579,fe:77:90:13:0e:6b, 2015-01-01 00:57:04.035, -0.181, 0.84, -0.454, 0, 0, 0, , , , , , , -2.84, 0.423, 1.318, 11.153, -58.687, 16.473, 27.38, 0.5105, 0.8548, 0.05728, -0.07294,
 14:03:16.609,cd:75:20:e1:ef:ef, 2015-01-01 00:58:26.420, 0.151, 0.975, 0.167, 0, 0, 0, , , , , , , 0.676, -0.214, -26.587, -26.107, -55.727, -45.760, 28.69, 0.75394, 0.61127, -0.20236, -0.12988,
 14:03:16.613,ea:e4:fd:d7:dc:2a, 2015-01-01 00:02:39.545, 0.189, 0.977, -0.071, 0, 0, 0, , , , , , , -1.077, -0.236, 43.792, -3.287, -67.260, -3.420, 30.61, 0.60318, 0.70065, 0.21442, 0.31491,
 14:03:16.701,ea:e4:fd:d7:dc:2a, 2015-01-01 00:02:39.900, 0.192, 0.976, -0.075, 0, 0, 0, , , , , , , -1.066, -0.236, 43.813, -3.287, -67.260, -3.420, 30.61, 0.60318, 0.70065, 0.21442, 0.31491,
 14:03:16.701,fe:77:90:13:0e:6b, 2015-01-01 00:57:04.035, -0.182, 0.842, -0.457, 0, 0, 0, , , , , , , -2.84, 0.417, 1.313, 11.153, -58.687, 16.473, 27.38, 0.51053, 0.8548, 0.05685, -0.07309,
 14:03:16.730,cd:75:20:e1:ef:ef, 2015-01-01 00:58:26.420, 0.152, 0.974, 0.167, 0, 0, 0, , , , , , , 0.681, -0.214, -26.57, -25.687, -55.473, -45.313, 28.69, 0.75394, 0.61127, -0.20236, -0.12988,
 14:03:16.790,fe:77:90:13:0e:6b, 2015-01-01 00:57:04.545, -0.179, 0.842, -0.458, 0, 0, 0, , , , , , , -2.84, 0.423, 1.313, 11.153, -58.687, 16.473, 27.38, 0.51053, 0.8548, 0.05685, -0.07309,
 14:03:16.819,cd:75:20:e1:ef:ef, 2015-01-01 00:58:26.420, 0.152, 0.975, 0.166, 0, 0, 0, , , , , , , 0.681, -0.22, -26.554, -25.687, -55.473, -45.313, 28.69, 0.75394, 0.61148, -0.20209, -0.1293,
 14:03:16.821,ea:e4:fd:d7:dc:2a, 2015-01-01 00:02:39.900, 0.192, 0.975, -0.072, 0, 0, 0, , , , , , , -1.06, -0.242, 43.841, -3.287, -67.260, -3.420, 30.61, 0.60318, 0.70065, 0.21442, 0.31491,
 14:03:16.909,fe:77:90:13:0e:6b, 2015-01-01 00:57:04.545, -0.183, 0.839, -0.456, 0, 0, 0, , , , , , , -2.834, 0.423, 1.302, 11.153, -58.687, 16.473, 27.38, 0.51053, 0.8548, 0.05685, -0.07309,
 14:03:16.913,ea:e4:fd:d7:dc:2a, 2015-01-01 00:02:39.900, 0.192, 0.976, -0.073, 0, 0, 0, , , , , , , -1.049, -0.247, 43.868, -2.860, -67.400, -3.887, 30.61, 0.60318, 0.70065, 0.21442, 0.31491,
 14:03:16.969,cd:75:20:e1:ef:ef, 2015-01-01 00:58:26.835, 0.151, 0.974, 0.167, 0, 0, 0, , , , , , , 0.687, -0.225, -26.537, -25.687, -55.473, -45.313, 28.69, 0.75394, 0.61148, -0.20209, -0.1293,
 14:03:16.999,cd:75:20:e1:ef:ef, 2015-01-01 00:58:26.835, 0.15, 0.976, 0.166, 0, 0, 0, , , , , , , 0.692, -0.225, -26.521, -25.687, -55.473, -45.313, 28.69, 0.75394, 0.61148, -0.20209, -0.1293,
 14:03:17.031,ea:e4:fd:d7:dc:2a, 2015-01-01 00:02:40.260, 0.19, 0.976, -0.075, 0, 0, 0, , , , , , , -1.038, -0.247, 43.896, -2.860, -67.400, -3.887, 30.61, 0.6026, 0.70068, 0.21506, 0.31549,
 14:03:17.089,fe:77:90:13:0e:6b, 2015-01-01 00:57:04.545, -0.179, 0.841, -0.456, 0, 0, 0, , , , , , , -2.834, 0.417, 1.291, 11.153, -58.687, 16.473, 27.38, 0.51053, 0.8548, 0.05685, -0.07309,
 14:03:17.121,fe:77:90:13:0e:6b, 2015-01-01 00:57:04.545, -0.181, 0.843, -0.455, 0, 0, 0, , , , , , , -2.834, 0.417, 1.285, 11.340, -58.487, 16.160, 27.38, 0.51053, 0.8548, 0.05685, -0.07309,
 14:03:17.121,cd:75:20:e1:ef:ef, 2015-01-01 00:58:26.835, 0.151, 0.974, 0.169, 0, 0, 0, , , , , , , 0.692, -0.231, -26.505, -25.687, -55.473, -45.313, 28.69, 0.75394, 0.61148, -0.20209, -0.1293,
 14:03:17.123,ea:e4:fd:d7:dc:2a, 2015-01-01 00:02:40.260, 0.189, 0.977, -0.07, 0, 0, 0, , , , , , , -1.011, -0.242, 43.934, -2.860, -67.400, -3.887, 30.61, 0.6026, 0.70068, 0.21506, 0.31549,
 14:03:17.208,cd:75:20:e1:ef:ef, 2015-01-01 00:58:26.835, 0.15, 0.976, 0.167, 0, 0, 0, , , , , , , 0.698, -0.236, -26.488, -26.100, -55.413, -45.753, 28.69, 0.75394, 0.61148, -0.20209, -0.1293,
 14:03:17.210,fe:77:90:13:0e:6b, 2015-01-01 00:57:04.545, -0.178, 0.843, -0.455, 0, 0, 0, , , , , , , -2.834, 0.423, 1.28, 11.340, -58.487, 16.160, 27.38, 0.51047, 0.85483, 0.05655, -0.07327,
 14:03:17.242,ea:e4:fd:d7:dc:2a, 2015-01-01 00:02:40.260, 0.189, 0.978, -0.073, 0, 0, 0, , , , , , , -0.994, -0.236, 43.967, -3.387, -67.667, -3.587, 30.61, 0.6026, 0.70068, 0.21506, 0.31549,
 14:03:17.300,fe:77:90:13:0e:6b, 2015-01-01 00:57:05.050, -0.18, 0.842, -0.455, 0, 0, 0, , , , , , , -2.834, 0.423, 1.269, 11.340, -58.487, 16.160, 27.38, 0.51047, 0.85483, 0.05655, -0.07327,
 14:03:17.302,ea:e4:fd:d7:dc:2a, 2015-01-01 00:02:40.260, 0.19, 0.977, -0.074, 0, 0, 0, , , , , , , -0.978, -0.236, 44, -3.387, -67.667, -3.587, 30.61, 0.60196, 0.70078, 0.216, 0.31589,
 14:03:17.388,cd:75:20:e1:ef:ef, 2015-01-01 00:58:26.835, 0.149, 0.977, 0.164, 0, 0, 0, , , , , , , 0.703, -0.236, -26.472, -26.100, -55.413, -45.753, 28.69, 0.75394, 0.61169, -0.20178, -0.12863,
 14:03:17.390,fe:77:90:13:0e:6b, 2015-01-01 00:57:05.050, -0.179, 0.842, -0.455, 0, 0, 0, , , , , , , -2.834, 0.417, 1.252, 11.340, -58.487, 16.160, 27.38, 0.51047, 0.85483, 0.05655, -0.07327,
 14:03:17.418,cd:75:20:e1:ef:ef, 2015-01-01 00:58:27.310, 0.151, 0.972, 0.166, 0, 0, 0, , , , , , , 0.709, -0.242, -26.455, -26.100, -55.413, -45.753, 28.69, 0.75394, 0.61169, -0.20178, -0.12863,
 14:03:17.421,ea:e4:fd:d7:dc:2a, 2015-01-01 00:02:40.585, 0.191, 0.975, -0.069, 0, 0, 0, , , , , , , -0.972, -0.242, 44.028, -3.387, -67.667, -3.587, 30.61, 0.60196, 0.70078, 0.216, 0.31589,
