Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 14:49:43.374,cd:75:20:e1:ef:ef, 2015-01-01 01:24:32.250, 0.092, 0.988, -0.067, 0, 0, 0, , , , , , , -0.264, -0.121, -3.499, -18.960, -73.320, -60.447, 28.97, 0.68158, 0.72937, -0.05505, 0.0177,
 14:49:43.405,cd:75:20:e1:ef:ef, 2015-01-01 01:24:32.250, 0.093, 0.993, -0.062, 0, 0, 0, , , , , , , -0.269, -0.121, -3.565, -18.960, -73.760, -60.153, 28.97, 0.68158, 0.72937, -0.05505, 0.0177,
 14:49:43.407,fe:77:90:13:0e:6b, 2015-01-01 01:22:05.080, -0.085, 0.949, -0.21, 0, 0, 0, , , , , , , 4.741, 1.346, -93.395, -2.607, -51.267, 11.900, 26.51, 0.40576, 0.55258, -0.55002, -0.47684,
 14:49:43.434,ea:e4:fd:d7:dc:2a, 2015-01-01 02:26:58.575, -0.01, 1, -0.019, 0, 0, 0, , , , , , , -1.236, 0.582, 168.14, 6.253, -75.593, 17.900, 31.18, 0.07993, 0.06516, 0.70886, 0.69769,
 14:49:43.467,fe:77:90:13:0e:6b, 2015-01-01 01:22:05.080, -0.084, 0.956, -0.201, 0, 0, 0, , , , , , , 4.73, 1.362, -93.455, -2.720, -51.240, 12.213, 26.51, 0.40576, 0.55258, -0.55002, -0.47684,
 14:49:43.494,cd:75:20:e1:ef:ef, 2015-01-01 01:24:32.250, 0.094, 0.989, -0.065, 0, 0, 0, , , , , , , -0.275, -0.115, -3.625, -18.960, -73.760, -60.153, 28.97, 0.68158, 0.72937, -0.05505, 0.0177,
 14:49:43.554,ea:e4:fd:d7:dc:2a, 2015-01-01 02:26:58.575, -0.011, 0.996, -0.022, 0, 0, 0, , , , , , , -1.236, 0.577, 168.096, 6.060, -75.380, 18.093, 31.18, 0.07993, 0.06516, 0.70886, 0.69769,
 14:49:43.614,cd:75:20:e1:ef:ef, 2015-01-01 01:24:32.250, 0.092, 0.989, -0.065, 0, 0, 0, , , , , , , -0.28, -0.115, -3.691, -18.960, -73.760, -60.153, 28.97, 0.68188, 0.72894, -0.05777, 0.01492,
 14:49:43.615,fe:77:90:13:0e:6b, 2015-01-01 01:22:05.080, -0.086, 0.959, -0.198, 0, 0, 0, , , , , , , 4.73, 1.379, -93.494, -2.720, -51.240, 12.213, 26.51, 0.40555, 0.55231, -0.55032, -0.47699,
 14:49:43.643,cd:75:20:e1:ef:ef, 2015-01-01 01:24:32.905, 0.093, 0.989, -0.064, 0, 0, 0, , , , , , , -0.286, -0.11, -3.752, -18.960, -73.760, -60.153, 28.97, 0.68188, 0.72894, -0.05777, 0.01492,
 14:49:43.673,ea:e4:fd:d7:dc:2a, 2015-01-01 02:26:58.575, -0.015, 0.999, -0.019, 0, 0, 0, , , , , , , -1.236, 0.577, 168.052, 6.060, -75.380, 18.093, 31.18, 0.08081, 0.0665, 0.70905, 0.6973,
 14:49:43.678,fe:77:90:13:0e:6b, 2015-01-01 01:22:05.080, -0.089, 0.958, -0.196, 0, 0, 0, , , , , , , 4.735, 1.39, -93.538, -2.720, -51.240, 12.213, 26.51, 0.40555, 0.55231, -0.55032, -0.47699,
 14:49:43.765,cd:75:20:e1:ef:ef, 2015-01-01 01:24:32.905, 0.093, 0.991, -0.067, 0, 0, 0, , , , , , , -0.291, -0.11, -3.812, -18.960, -73.760, -60.153, 28.97, 0.68188, 0.72894, -0.05777, 0.01492,
 14:49:43.793,ea:e4:fd:d7:dc:2a, 2015-01-01 02:26:59.145, -0.013, 0.999, -0.018, 0, 0, 0, , , , , , , -1.236, 0.588, 168.058, 6.060, -75.380, 18.093, 31.18, 0.08081, 0.0665, 0.70905, 0.6973,
 14:49:43.825,fe:77:90:13:0e:6b, 2015-01-01 01:22:05.650, -0.09, 0.96, -0.196, 0, 0, 0, , , , , , , 4.724, 1.401, -93.576, -2.720, -51.240, 12.213, 26.64, 0.40555, 0.55231, -0.55032, -0.47699,
 14:49:43.854,ea:e4:fd:d7:dc:2a, 2015-01-01 02:26:59.145, -0.013, 0.997, -0.015, 0, 0, 0, , , , , , , -1.225, 0.577, 168.019, 6.060, -75.380, 18.093, 31.18, 0.08081, 0.0665, 0.70905, 0.6973,
 14:49:43.886,fe:77:90:13:0e:6b, 2015-01-01 01:22:05.650, -0.087, 0.96, -0.197, 0, 0, 0, , , , , , , 4.68, 1.423, -93.598, -2.720, -51.240, 12.213, 26.64, 0.40555, 0.55231, -0.55032, -0.47699,
