Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 14:17:28.855,ea:e4:fd:d7:dc:2a, 2015-01-01 01:54:58.030, 0.015, 1.003, -0.07, 0, 0, 0, , , , , , , -1.082, -0.802, -93.203, 7.347, -77.833, 21.060, 30.07, 0.47055, 0.50119, -0.53738, -0.48834,
 14:17:28.856,cd:75:20:e1:ef:ef, 2015-01-01 00:52:32.055, 0.08, 0.941, 0.325, 0, 0, 0, , , , , , , 2.296, -0.203, 44.006, -17.953, -62.233, -82.880, 27.77, 0.75238, 0.5408, 0.186, 0.32672,
 14:17:28.918,fe:77:90:13:0e:6b, 2015-01-01 00:50:04.660, -0.163, 0.945, -0.243, 0, 0, 0, , , , , , , -1.544, -0.829, -99.481, -1.687, -51.613, 15.380, 31.3, 0.34625, 0.54657, -0.56836, -0.50812,
 14:17:28.947,cd:75:20:e1:ef:ef, 2015-01-01 00:52:32.055, 0.081, 0.946, 0.318, 0, 0, 0, , , , , , , 2.335, -0.209, 44.006, -17.953, -62.233, -82.880, 27.77, 0.75238, 0.5408, 0.186, 0.32672,
 14:17:29.004,ea:e4:fd:d7:dc:2a, 2015-01-01 01:54:58.030, 0.017, 0.994, -0.082, 0, 0, 0, , , , , , , -1.165, -0.857, -93.043, 7.347, -77.833, 21.060, 30.07, 0.47055, 0.50119, -0.53738, -0.48834,
 14:17:29.037,fe:77:90:13:0e:6b, 2015-01-01 00:50:04.660, -0.146, 0.937, -0.238, -2.991, 3.052, 2.686, , , , , , , -1.785, -1.033, -99.223, -1.687, -51.613, 15.380, 31.3, 0.34625, 0.54657, -0.56836, -0.50812,
 14:17:29.066,ea:e4:fd:d7:dc:2a, 2015-01-01 01:54:58.030, 0.029, 0.993, -0.079, 0, 0, 0, , , , , , , -1.198, -0.956, -93.016, 7.007, -77.827, 20.773, 30.07, 0.47055, 0.50119, -0.53738, -0.48834,
 14:17:29.066,cd:75:20:e1:ef:ef, 2015-01-01 00:52:32.055, 0.081, 0.946, 0.318, 0, 0, 0, , , , , , , 2.379, -0.22, 44, -17.953, -62.233, -82.880, 27.77, 0.75238, 0.5408, 0.186, 0.32672,
 14:17:29.129,fe:77:90:13:0e:6b, 2015-01-01 00:50:04.660, -0.146, 0.941, -0.243, 1.16, -0.183, 2.38, , , , , , , -1.791, -1.351, -99.196, -1.687, -51.613, 15.380, 31.3, 0.34625, 0.54657, -0.56836, -0.50812,
 14:17:29.156,cd:75:20:e1:ef:ef, 2015-01-01 00:52:32.055, 0.084, 0.95, 0.322, 0, 0, 0, , , , , , , 2.422, -0.225, 43.995, -18.547, -62.560, -83.673, 27.77, 0.75238, 0.5408, 0.186, 0.32672,
 14:17:29.185,ea:e4:fd:d7:dc:2a, 2015-01-01 01:54:58.030, 0.023, 0.998, -0.072, 0, 0, 0, , , , , , , -1.208, -0.989, -93.054, 7.007, -77.827, 20.773, 30.07, 0.4725, 0.49997, -0.5376, -0.48749,
