Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 08:54:50.628,ea:e4:fd:d7:dc:2a, 2015-01-01 01:03:05.425, 0.075, 0.993, -0.069, 0, 0, 0, , , , , , , 0.45, 0.621, 153.402, 13.167, -39.553, 35.740, 29.43, 0.12866, 0.19406, 0.70682, 0.66791,
 08:54:50.659,fe:77:90:13:0e:6b, 2015-01-01 01:03:04.970, -0.068, 0.861, -0.443, -4.7, 0.916, 2.991, , , , , , , 6.092, 4.999, 149.079, 11.100, -20.593, 27.873, 26.86, 0.17261, 0.20612, 0.82568, 0.49582,
 08:54:50.661,cd:75:20:e1:ef:ef, 2015-01-01 01:03:04.685, 0.057, 0.929, 0.383, 0, 0, 0, , , , , , , 0.253, -0.016, -6.866, -5.973, -24.507, -45.147, 26.67, 0.83014, 0.55347, -0.05759, -0.03351,
 08:54:50.718,ea:e4:fd:d7:dc:2a, 2015-01-01 01:03:05.425, 0.085, 0.985, -0.072, 0, 0, 0, , , , , , , 0.417, 0.566, 153.397, 13.167, -39.553, 35.740, 29.43, 0.12866, 0.19406, 0.70682, 0.66791,
 08:54:50.749,fe:77:90:13:0e:6b, 2015-01-01 01:03:05.535, -0.06, 0.875, -0.433, -3.54, 1.221, 3.418, , , , , , , 5.636, 4.642, 149.134, 11.100, -20.593, 27.873, 26.86, 0.17261, 0.20612, 0.82568, 0.49582,
 08:54:50.750,cd:75:20:e1:ef:ef, 2015-01-01 01:03:04.685, 0.06, 0.931, 0.379, 0, 0, 0, , , , , , , 0.253, -0.011, -6.866, -5.973, -24.507, -45.147, 26.67, 0.83014, 0.55347, -0.05759, -0.03351,
 08:54:50.811,cd:75:20:e1:ef:ef, 2015-01-01 01:03:04.685, 0.063, 0.926, 0.388, 0, 0, 0, , , , , , , 0.253, -0.005, -6.866, -5.960, -24.387, -44.773, 26.67, 0.83014, 0.55347, -0.05759, -0.03351,
 08:54:50.837,ea:e4:fd:d7:dc:2a, 2015-01-01 01:03:05.425, 0.09, 0.996, -0.043, 0, 0, 0, , , , , , , 0.385, 0.516, 153.358, 12.813, -39.867, 35.520, 29.43, 0.12866, 0.19406, 0.70682, 0.66791,
 08:54:50.868,fe:77:90:13:0e:6b, 2015-01-01 01:03:05.535, -0.057, 0.859, -0.439, 1.648, 0.61, 3.235, , , , , , , 5.466, 4.175, 149.073, 11.100, -20.593, 27.873, 26.86, 0.17261, 0.20612, 0.82568, 0.49582,
 08:54:50.927,ea:e4:fd:d7:dc:2a, 2015-01-01 01:03:05.425, 0.083, 0.986, -0.056, 0, 0, 0, , , , , , , 0.374, 0.45, 153.506, 12.813, -39.867, 35.520, 29.43, 0.12665, 0.19424, 0.7063, 0.66876,
 08:54:50.931,cd:75:20:e1:ef:ef, 2015-01-01 01:03:05.040, 0.052, 0.927, 0.38, 0, 0, 0, , , , , , , 0.247, -0.011, -6.855, -5.960, -24.387, -44.773, 26.67, 0.83017, 0.55344, -0.05746, -0.03348,
 08:54:50.989,fe:77:90:13:0e:6b, 2015-01-01 01:03:05.535, -0.047, 0.87, -0.444, 0.427, 1.16, 2.136, , , , , , , 5.625, 3.911, 149.156, 11.100, -20.593, 27.873, 26.86, 0.17261, 0.20612, 0.82568, 0.49582,
 08:54:51.018,ea:e4:fd:d7:dc:2a, 2015-01-01 01:03:05.840, 0.082, 0.995, -0.063, 0, 0, 0, , , , , , , 0.428, 0.374, 153.622, 12.813, -39.867, 35.520, 29.43, 0.12665, 0.19424, 0.7063, 0.66876,
 08:54:51.020,cd:75:20:e1:ef:ef, 2015-01-01 01:03:05.040, 0.054, 0.931, 0.373, 0, 0, 0, , , , , , , 0.253, -0.011, -6.85, -5.960, -24.387, -44.773, 26.67, 0.83017, 0.55344, -0.05746, -0.03348,
 08:54:51.108,fe:77:90:13:0e:6b, 2015-01-01 01:03:05.535, -0.049, 0.871, -0.439, -1.221, 1.831, 1.648, , , , , , , 5.647, 3.889, 149.222, 10.160, -20.620, 27.067, 26.86, 0.17261, 0.20612, 0.82568, 0.49582,
 08:54:51.108,ea:e4:fd:d7:dc:2a, 2015-01-01 01:03:05.840, 0.087, 0.994, -0.056, 0, 0, 0, , , , , , , 0.341, 0.385, 153.699, 12.813, -39.867, 35.520, 29.43, 0.12665, 0.19424, 0.7063, 0.66876,
 08:54:51.138,fe:77:90:13:0e:6b, 2015-01-01 01:03:05.535, -0.054, 0.874, -0.439, 0.427, 0.488, -1.282, , , , , , , 5.658, 3.862, 149.266, 10.160, -20.620, 27.067, 26.86, 0.16531, 0.20914, 0.8241, 0.49966,
 08:54:51.140,cd:75:20:e1:ef:ef, 2015-01-01 01:03:05.040, 0.059, 0.927, 0.378, 0, 0, 0, , , , , , , 0.264, 0, -6.844, -6.220, -24.287, -45.673, 26.67, 0.83017, 0.55344, -0.05746, -0.03348,
 08:54:51.228,ea:e4:fd:d7:dc:2a, 2015-01-01 01:03:05.840, 0.083, 0.996, -0.056, 0, 0, 0, , , , , , , 0.368, 0.434, 153.737, 12.813, -39.867, 35.520, 29.43, 0.12665, 0.19424, 0.7063, 0.66876,
 08:54:51.232,cd:75:20:e1:ef:ef, 2015-01-01 01:03:05.040, 0.059, 0.926, 0.38, 0, 0, 0, , , , , , , 0.269, 0.005, -6.85, -6.220, -24.287, -45.673, 26.67, 0.83008, 0.55359, -0.05734, -0.03348,
 08:54:51.258,fe:77:90:13:0e:6b, 2015-01-01 01:03:06.010, -0.053, 0.874, -0.434, -2.197, -1.892, -0.305, , , , , , , 5.669, 3.845, 149.304, 10.160, -20.620, 27.067, 26.86, 0.16531, 0.20914, 0.8241, 0.49966,
 08:54:51.318,ea:e4:fd:d7:dc:2a, 2015-01-01 01:03:05.840, 0.083, 0.993, -0.055, 0, 0, 0, , , , , , , 0.297, 0.434, 153.743, 13.253, -39.573, 35.460, 29.43, 0.12665, 0.19424, 0.7063, 0.66876,
 08:54:51.350,fe:77:90:13:0e:6b, 2015-01-01 01:03:06.010, -0.048, 0.871, -0.428, -0.061, -0.61, 0.427, , , , , , , 5.669, 3.829, 149.343, 10.160, -20.620, 27.067, 26.86, 0.16531, 0.20914, 0.8241, 0.49966,
 08:54:51.350,cd:75:20:e1:ef:ef, 2015-01-01 01:03:05.400, 0.056, 0.929, 0.378, 0, 0, 0, , , , , , , 0.269, 0.005, -6.85, -6.220, -24.287, -45.673, 26.67, 0.83008, 0.55359, -0.05734, -0.03348,
 08:54:51.439,cd:75:20:e1:ef:ef, 2015-01-01 01:03:05.400, 0.058, 0.926, 0.378, 0, 0, 0, , , , , , , 0.275, 0.005, -6.844, -6.220, -24.287, -45.673, 26.67, 0.83008, 0.55359, -0.05734, -0.03348,
 08:54:51.468,fe:77:90:13:0e:6b, 2015-01-01 01:03:06.010, -0.062, 0.878, -0.43, 0.61, 0.061, -0.549, , , , , , , 5.658, 3.812, 149.376, 10.287, -20.713, 26.993, 26.86, 0.16531, 0.20914, 0.8241, 0.49966,
 08:54:51.497,ea:e4:fd:d7:dc:2a, 2015-01-01 01:03:05.840, 0.082, 0.992, -0.052, 0, 0, 0, , , , , , , 0.269, 0.428, 153.726, 13.253, -39.573, 35.460, 29.43, 0.12582, 0.19278, 0.7059, 0.66977,
 08:54:51.527,ea:e4:fd:d7:dc:2a, 2015-01-01 01:03:06.315, 0.079, 0.994, -0.046, 0, 0, 0, , , , , , , 0.231, 0.456, 153.765, 13.253, -39.573, 35.460, 29.43, 0.12582, 0.19278, 0.7059, 0.66977,
 08:54:51.561,cd:75:20:e1:ef:ef, 2015-01-01 01:03:05.400, 0.057, 0.93, 0.381, 0, 0, 0, , , , , , , 0.28, 0.005, -6.844, -6.187, -24.613, -44.887, 26.67, 0.83008, 0.55359, -0.05734, -0.03348,
