Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 10:26:19.165,ea:e4:fd:d7:dc:2a, 2015-01-01 00:22:44.540, 0.067, 0.995, -0.072, 0, 0, 0, , , , , , , -0.945, 0.154, 155.951, -0.053, -74.547, 13.527, 29.51, -0.12329, -0.16904, -0.71417, -0.66788,
 10:26:19.166,fe:77:90:13:0e:6b, 2015-01-01 00:59:57.015, 0.075, 0.954, -0.225, 2.625, -1.831, -1.343, , , , , , , -6.531, 0.165, -155.275, -10.573, -48.460, 26.080, 27.93, 0.15875, 0.14792, -0.7818, -0.58447,
 10:26:19.257,cd:75:20:e1:ef:ef, 2015-01-01 01:00:30.440, 0.15, 0.984, -0.049, 0, 0, 0, , , , , , , 0.439, -0.027, -36.178, -19.127, -55.773, -11.980, 28.21, 0.67212, 0.6687, -0.27322, -0.16232,
 10:26:19.285,ea:e4:fd:d7:dc:2a, 2015-01-01 00:22:44.540, 0.071, 0.993, -0.068, 0, 0, 0, , , , , , , -0.961, 0.148, 155.923, -0.053, -74.547, 13.527, 29.51, -0.12329, -0.16904, -0.71417, -0.66788,
 10:26:19.285,fe:77:90:13:0e:6b, 2015-01-01 00:59:57.430, 0.072, 0.951, -0.229, 2.441, 0, -1.221, , , , , , , -6.603, 0.154, -155.286, -10.573, -48.460, 26.080, 27.93, 0.15875, 0.14792, -0.7818, -0.58447,
 10:26:19.346,cd:75:20:e1:ef:ef, 2015-01-01 01:00:30.440, 0.15, 0.982, -0.048, 0, 0, 0, , , , , , , 0.439, -0.022, -36.167, -19.127, -55.773, -11.980, 28.21, 0.67212, 0.6687, -0.27322, -0.16232,
 10:26:19.374,fe:77:90:13:0e:6b, 2015-01-01 00:59:57.430, 0.073, 0.954, -0.231, 3.235, -2.93, -1.404, , , , , , , -6.658, 0.143, -155.314, -10.573, -48.460, 26.080, 27.93, 0.15875, 0.14792, -0.7818, -0.58447,
 10:26:19.466,ea:e4:fd:d7:dc:2a, 2015-01-01 00:22:44.540, 0.07, 0.998, -0.066, 0, 0, 0, , , , , , , -0.983, 0.137, 155.896, -0.047, -74.467, 12.773, 29.51, -0.12329, -0.16904, -0.71417, -0.66788,
 10:26:19.468,cd:75:20:e1:ef:ef, 2015-01-01 01:00:30.440, 0.149, 0.977, -0.045, 0, 0, 0, , , , , , , 0.45, -0.022, -36.161, -18.873, -55.420, -10.913, 28.21, 0.67212, 0.6687, -0.27322, -0.16232,
 10:26:19.494,fe:77:90:13:0e:6b, 2015-01-01 00:59:57.430, 0.074, 0.952, -0.233, 3.235, -1.709, -0.61, , , , , , , -6.713, 0.143, -155.341, -10.393, -49.093, 26.500, 27.93, 0.15875, 0.14792, -0.7818, -0.58447,
 10:26:19.496,ea:e4:fd:d7:dc:2a, 2015-01-01 00:22:44.540, 0.068, 0.991, -0.08, 0, 0, 0, , , , , , , -1.005, 0.132, 155.869, -0.047, -74.467, 12.773, 29.51, -0.12415, -0.16995, -0.71332, -0.6684,
 10:26:19.558,cd:75:20:e1:ef:ef, 2015-01-01 01:00:30.440, 0.151, 0.981, -0.048, 0, 0, 0, , , , , , , 0.456, -0.022, -36.161, -18.873, -55.420, -10.913, 28.21, 0.67203, 0.66885, -0.27313, -0.1622,
 10:26:19.584,fe:77:90:13:0e:6b, 2015-01-01 00:59:57.430, 0.07, 0.95, -0.233, 2.197, -0.549, -0.366, , , , , , , -6.762, 0.143, -155.369, -10.393, -49.093, 26.500, 27.93, 0.15863, 0.14676, -0.78079, -0.58615,
 10:26:19.675,ea:e4:fd:d7:dc:2a, 2015-01-01 00:22:44.540, 0.067, 0.996, -0.068, 0, 0, 0, , , , , , , -1.027, 0.126, 155.836, -0.047, -74.467, 12.773, 29.51, -0.12415, -0.16995, -0.71332, -0.6684,
 10:26:19.677,cd:75:20:e1:ef:ef, 2015-01-01 01:00:30.800, 0.149, 0.984, -0.048, 0, 0, 0, , , , , , , 0.461, -0.027, -36.172, -18.873, -55.420, -10.913, 28.21, 0.67203, 0.66885, -0.27313, -0.1622,
 10:26:19.704,fe:77:90:13:0e:6b, 2015-01-01 00:59:57.845, 0.072, 0.942, -0.238, -0.183, -2.808, -1.465, , , , , , , -6.839, 0.176, -155.435, -10.393, -49.093, 26.500, 27.93, 0.15863, 0.14676, -0.78079, -0.58615,
 10:26:19.706,ea:e4:fd:d7:dc:2a, 2015-01-01 00:22:45.105, 0.068, 0.991, -0.066, 0, 0, 0, , , , , , , -1.044, 0.115, 155.808, -0.047, -74.467, 12.773, 29.51, -0.12415, -0.16995, -0.71332, -0.6684,
